rho,mu_A,lambda_A,Delta,in_corner_regime,pi_diff,pi_diff_analytical,normalized_diff,a_corner,rho_star,matches_analytical_sign
1.6,0.6,0.96,-0.23999999999999977,True,1.0691574133249035,1.0691574133249038,1.7819290222081727,1,1.796338425716992,True
1.6,0.7000000000000001,1.12,-0.2799999999999998,True,1.2473503155457215,1.2473503155457213,1.7819290222081734,1,1.796338425716992,True
1.6,0.8,1.2800000000000002,-0.3199999999999994,True,1.4255432177665355,1.4255432177665384,1.7819290222081692,1,1.796338425716992,True
1.6,0.9,1.4400000000000002,-0.35999999999999943,True,1.6037361199873537,1.6037361199873557,1.7819290222081707,1,1.796338425716992,True
1.6,1.0,1.6,-0.39999999999999947,True,1.7819290222081714,1.781929022208173,1.7819290222081714,1,1.796338425716992,True
1.75,0.1,0.17500000000000002,-0.02499999999999994,True,0.04205584583201599,0.04205584583201621,0.4205584583201599,1,1.796338425716992,True
1.75,0.2,0.35000000000000003,-0.04999999999999988,True,0.08411169166403198,0.08411169166403241,0.4205584583201599,1,1.796338425716992,True
1.75,0.30000000000000004,0.5250000000000001,-0.07499999999999984,True,0.12616753749604814,0.12616753749604862,0.4205584583201604,1,1.796338425716992,True
1.75,0.4,0.7000000000000001,-0.09999999999999976,True,0.16822338332806397,0.16822338332806483,0.4205584583201599,1,1.796338425716992,True
1.75,0.5,0.875,-0.12499999999999978,True,0.21027922916008068,0.21027922916008102,0.42055845832016137,1,1.796338425716992,True
1.75,0.6,1.05,-0.1499999999999997,True,0.2523350749920965,0.25233507499209723,0.42055845832016087,1,1.796338425716992,True
1.75,0.7000000000000001,1.225,-0.17499999999999982,True,0.294390920824114,0.29439092082411344,0.4205584583201628,1,1.796338425716992,True
1.75,0.8,1.4000000000000001,-0.1999999999999995,True,0.33644676665612794,0.33644676665612966,0.4205584583201599,1,1.796338425716992,True
1.75,0.9,1.575,-0.22499999999999964,True,0.37850261248814543,0.3785026124881458,0.4205584583201616,1,1.796338425716992,True
1.75,1.0,1.75,-0.24999999999999956,True,0.42055845832016137,0.42055845832016203,0.42055845832016137,1,1.796338425716992,True
1.85,0.1,0.18500000000000003,-0.01499999999999993,True,-0.048702191760518154,-0.04870219176051798,-0.48702191760518154,0,1.796338425716992,True
1.85,0.2,0.37000000000000005,-0.02999999999999986,True,-0.09740438352103631,-0.09740438352103596,-0.48702191760518154,0,1.796338425716992,True
1.85,0.30000000000000004,0.5550000000000002,-0.04499999999999982,True,-0.1461065752815543,-0.14610657528155396,-0.48702191760518093,0,1.796338425716992,True
1.85,0.4,0.7400000000000001,-0.05999999999999972,True,-0.19480876704207262,-0.19480876704207192,-0.48702191760518154,0,1.796338425716992,True
1.85,0.5,0.925,-0.07499999999999973,True,-0.24351095880259,-0.24351095880258988,-0.48702191760518,0,1.796338425716992,True
1.85,0.6,1.11,-0.08999999999999964,True,-0.29221315056310837,-0.29221315056310787,-0.48702191760518065,0,1.796338425716992,True
1.85,0.7000000000000001,1.2950000000000002,-0.10499999999999976,True,-0.34091534232362497,-0.34091534232362586,-0.4870219176051785,0,1.796338425716992,True
1.85,0.8,1.4800000000000002,-0.11999999999999944,True,-0.38961753408414523,-0.38961753408414385,-0.48702191760518154,0,1.796338425716992,True
1.85,0.9,1.665,-0.13499999999999956,True,-0.4383197258446616,-0.4383197258446618,-0.48702191760517954,0,1.796338425716992,True
1.85,1.0,1.85,-0.14999999999999947,True,-0.48702191760518,-0.48702191760517977,-0.48702191760518,0,1.796338425716992,True
1.95,0.1,0.195,-0.004999999999999949,True,-0.13946022935305202,-0.1394602293530518,-1.3946022935305202,0,1.796338425716992,True
1.95,0.2,0.39,-0.009999999999999898,True,-0.27892045870610405,-0.2789204587061036,-1.3946022935305202,0,1.796338425716992,True
