kappa,k,q1,q2,m1,m2,dm,unspecified1,lhs_ass1,ass1_holds,mono_holds,cross_partial_negative,m_soph,m_naive,u_soph,u_naive,welfare_loss,naive_worse,naive_underspec
0.2,11,0.79,0.7999999999999999,11.0,11.0,0.0,0.0,-0.0,True,True,True,11.0,11.0,87.9,87.9,0.0,True,True
0.2,11,0.7999999999999999,0.8099999999999999,11.0,11.0,0.0,0.0,-0.0,True,True,True,11.0,11.0,87.9,87.9,0.0,True,True
0.2,11,0.8099999999999999,0.82,11.0,11.0,0.0,0.0,-0.0,True,True,True,11.0,11.0,87.9,87.9,0.0,True,True
0.2,11,0.82,0.83,11.0,11.0,0.0,0.0,-0.0,True,True,True,11.0,11.0,87.9,87.9,0.0,True,True
0.2,11,0.83,0.84,11.0,11.0,0.0,0.0,-0.0,True,True,True,11.0,11.0,87.9,87.9,0.0,True,True
0.2,11,0.84,0.85,11.0,11.0,0.0,0.0,-0.0,True,True,True,11.0,11.0,87.9,87.9,0.0,True,True
0.2,11,0.85,0.86,11.0,11.0,0.0,0.0,-0.0,True,True,True,11.0,11.0,87.9,87.9,0.0,True,True
0.2,11,0.86,0.87,11.0,11.0,0.0,0.0,-0.0,True,True,True,11.0,11.0,87.9,87.9,0.0,True,True
0.2,11,0.87,0.88,11.0,11.0,0.0,0.0,-0.0,True,True,True,11.0,11.0,87.9,87.9,0.0,True,True
0.2,11,0.88,0.89,11.0,11.0,0.0,0.0,-0.0,True,True,True,11.0,11.0,87.9,87.9,0.0,True,True
0.2,11,0.89,0.9,11.0,11.0,0.0,0.0,-0.0,True,True,True,11.0,11.0,87.9,87.9,0.0,True,True
0.2,11,0.9,0.91,11.0,11.0,0.0,0.0,-0.0,True,True,True,11.0,11.0,87.9,87.9,0.0,True,True
0.2,11,0.91,0.9199999999999999,11.0,11.0,0.0,0.0,-0.0,True,True,True,11.0,11.0,87.9,87.9,0.0,True,True
0.2,11,0.9199999999999999,0.9299999999999999,11.0,11.0,0.0,0.0,-0.0,True,True,True,11.0,11.0,87.9,87.9,0.0,True,True
0.2,11,0.9299999999999999,0.94,11.0,11.0,0.0,0.0,-0.0,True,True,True,11.0,11.0,87.9,87.9,0.0,True,True
0.2,11,0.94,0.95,11.0,11.0,0.0,0.0,-0.0,True,True,True,11.0,11.0,87.9,87.9,0.0,True,True
0.2,11,0.95,0.96,11.0,11.0,0.0,0.0,-0.0,True,True,True,11.0,11.0,87.9,87.9,0.0,True,True
0.2,11,0.96,0.97,11.0,11.0,0.0,0.0,-0.0,True,True,True,11.0,11.0,87.9,87.9,0.0,True,True
0.2,11,0.97,0.98,11.0,9.872499999999999,-1.1275000000000013,0.0,-0.0,True,True,True,11.0,9.9385,87.9,86.94108745462367,0.9589125453763359,True,True
0.2,11,0.98,0.99,9.872499999999999,4.718999999999999,-5.153499999999999,1.1275000000000013,-0.022778552500503223,True,True,True,9.872499999999999,7.342499999999999,88.00126638204146,87.48602449434073,0.5152418877007392,True,True
