kappa,m_FB,a_FB,U_FB,is_optimal
0.36,5.555555555555555,1.0,85.55555555555556,True
0.361,5.54016620498615,1.0,85.54016620498615,True
0.362,5.524861878453039,1.0,85.52486187845304,True
0.363,5.5096418732782375,1.0,85.50964187327824,True
0.364,5.4945054945054945,1.0,85.4945054945055,True
0.365,5.47945205479452,1.0,85.47945205479452,True
0.366,5.46448087431694,1.0,85.46448087431695,True
0.367,5.4495912806539515,1.0,85.44959128065395,True
0.368,5.434782608695652,1.0,85.43478260869566,True
0.369,5.420054200542006,1.0,85.420054200542,True
0.37,5.405405405405405,1.0,85.4054054054054,True
0.371,5.390835579514825,1.0,85.39083557951483,True
0.372,5.376344086021505,1.0,85.3763440860215,True
0.373,5.361930294906166,1.0,85.36193029490617,True
0.374,5.347593582887701,1.0,85.3475935828877,True
0.375,5.333333333333333,1.0,85.33333333333334,True
0.376,5.319148936170213,1.0,85.31914893617022,True
0.377,5.305039787798409,1.0,85.3050397877984,True
0.378,5.291005291005291,1.0,85.29100529100529,True
0.379,5.277044854881266,1.0,85.27704485488127,True
0.38,5.2631578947368425,1.0,85.26315789473684,True
0.381,5.2493438320209975,1.0,85.249343832021,True
0.382,5.2356020942408374,1.0,85.23560209424085,True
0.383,5.221932114882507,1.0,85.2219321148825,True
0.384,5.208333333333333,1.0,85.20833333333334,True
0.385,5.194805194805195,1.0,85.19480519480518,True
0.386,5.181347150259067,1.0,85.18134715025906,True
0.387,5.167958656330749,1.0,85.16795865633074,True
0.388,5.154639175257731,1.0,85.15463917525773,True
0.389,5.141388174807198,1.0,85.14138817480719,True
0.39,5.128205128205128,1.0,85.12820512820514,True
0.391,5.115089514066496,1.0,85.1150895140665,True
0.392,5.1020408163265305,1.0,85.10204081632652,True
0.393,5.089058524173028,1.0,85.08905852417303,True
0.394,5.0761421319796955,1.0,85.0761421319797,True
0.395,5.063291139240506,1.0,85.0632911392405,True
0.396,5.05050505050505,1.0,85.05050505050505,True
0.397,5.037783375314861,1.0,85.03778337531486,True
0.398,5.025125628140703,1.0,85.0251256281407,True
0.399,5.012531328320802,1.0,85.0125313283208,True
0.4,5.0,1.0,85.0,True
0.401,4.987531172069825,1.0,84.98753117206982,True
0.402,4.975124378109452,1.0,84.97512437810946,True
0.403,4.962779156327543,1.0,84.96277915632754,True
0.404,4.9504950495049505,1.0,84.95049504950495,True
0.405,4.938271604938271,1.0,84.93827160493828,True
0.406,4.926108374384236,1.0,84.92610837438424,True
0.40700000000000003,4.914004914004914,1.0,84.9140049140049,True
0.40800000000000003,4.901960784313725,1.0,84.90196078431372,True
0.40900000000000003,4.889975550122249,1.0,84.88997555012226,True
0.41000000000000003,4.878048780487805,1.0,84.8780487804878,True
0.41100000000000003,4.8661800486618,1.0,84.86618004866179,True
0.41200000000000003,4.854368932038835,1.0,84.85436893203882,True
0.41300000000000003,4.842615012106537,1.0,84.84261501210653,True
0.41400000000000003,4.8309178743961345,1.0,84.83091787439614,True
0.41500000000000004,4.8192771084337345,1.0,84.81927710843374,True
0.41600000000000004,4.8076923076923075,1.0,84.8076923076923,True
0.41700000000000004,4.796163069544364,1.0,84.79616306954436,True
0.41800000000000004,4.78468899521531,1.0,84.78468899521532,True
0.41900000000000004,4.77326968973747,1.0,84.77326968973746,True
0.42000000000000004,4.761904761904762,1.0,84.76190476190476,True
0.42100000000000004,4.750593824228028,1.0,84.75059382422802,True
0.42200000000000004,4.7393364928909945,1.0,84.73933649289098,True
0.42300000000000004,4.7281323877068555,1.0,84.72813238770686,True
0.42400000000000004,4.716981132075471,1.0,84.71698113207546,True
0.42500000000000004,4.705882352941176,1.0,84.70588235294117,True
0.42600000000000005,4.694835680751173,1.0,84.69483568075118,True
0.42700000000000005,4.68384074941452,1.0,84.68384074941453,True
0.42800000000000005,4.672897196261681,1.0,84.67289719626167,True
0.42900000000000005,4.662004662004661,1.0,84.66200466200466,True
0.43000000000000005,4.651162790697674,1.0,84.65116279069768,True
0.43100000000000005,4.640371229698375,1.0,84.64037122969837,True
0.43200000000000005,4.629629629629629,1.0,84.62962962962962,True
0.43300000000000005,4.618937644341801,1.0,84.6189376443418,True
0.43400000000000005,4.608294930875576,1.0,84.60829493087557,True
0.43500000000000005,4.597701149425287,1.0,84.59770114942529,True
0.43600000000000005,4.587155963302751,1.0,84.58715596330275,True
0.43700000000000006,4.576659038901601,1.0,84.57665903890161,True
0.43800000000000006,4.5662100456621,1.0,84.5662100456621,True
0.43900000000000006,4.5558086560364455,1.0,84.55580865603645,True
0.44000000000000006,4.545454545454545,1.0,84.54545454545455,True
0.44100000000000006,4.5351473922902485,1.0,84.53514739229026,True
0.44200000000000006,4.524886877828053,1.0,84.52488687782805,True
0.44300000000000006,4.514672686230248,1.0,84.51467268623026,True
0.44400000000000006,4.504504504504504,1.0,84.5045045045045,True
0.44500000000000006,4.4943820224719095,1.0,84.49438202247191,True
0.44600000000000006,4.484304932735426,1.0,84.48430493273543,True
0.44700000000000006,4.474272930648769,1.0,84.47427293064877,True
